Experiment_Type,Category,Num_Agents,Temperature,Ctx_Size,Model,Turn_Policy,Run_ID,Turns_Taken,Correct_Option,Agents_Verdict,Is_Correct,BERTScore_F1,BLEU,ROUGE_L,Elapsed_Seconds,Avg_Turn_Seconds,N_Turns,File,Speaker_Gini,Silent_Agents,Avg_Turn_Length,Max_Speaker_Share
multi_agent,causal_judgment,2,0.7,4096,llama3.2:3b,round_robin,1,8,No,Yes,0,0.7643,0.0006,0.0058,88.839,11.105,8,question_2.json,0.0,0.0,1088.38,0.5
multi_agent,causal_judgment,2,0.7,4096,llama3.2:3b,round_robin,1,9,Yes,No,0,0.7673,0.0,0.0,71.478,7.942,9,question_5.json,0.0556,0.0,729.78,0.5556
multi_agent,causal_judgment,2,0.7,4096,llama3.2:3b,round_robin,1,10,No,Yes,0,0.7665,0.0,0.0,94.477,9.448,10,question_3.json,0.0,0.0,851.5,0.5
multi_agent,causal_judgment,2,0.7,4096,llama3.2:3b,round_robin,1,9,Yes,Yes,1,0.7621,0.0,0.0,89.047,9.894,9,question_7.json,0.0556,0.0,915.67,0.5556
multi_agent,causal_judgment,2,0.7,4096,llama3.2:3b,round_robin,1,9,Yes,Yes,1,0.7599,0.0,0.0,99.194,11.022,9,question_9.json,0.0556,0.0,1125.22,0.5556
multi_agent,causal_judgment,2,0.7,4096,llama3.2:3b,round_robin,1,10,No,No,1,0.7701,0.0,0.0,101.324,10.132,10,question_0.json,0.0,0.0,944.5,0.5
multi_agent,causal_judgment,2,0.7,4096,llama3.2:3b,round_robin,1,7,No,Yes,0,0.7679,0.0,0.0,75.983,10.855,7,question_4.json,0.0714,0.0,1215.14,0.5714
multi_agent,causal_judgment,2,0.7,4096,llama3.2:3b,round_robin,1,9,Yes,Yes,1,0.756,0.0,0.0,95.681,10.631,9,question_10.json,0.0556,0.0,1032.33,0.5556
multi_agent,causal_judgment,2,0.7,4096,llama3.2:3b,round_robin,1,10,Yes,Yes,1,0.7691,0.0,0.0,82.89,8.289,10,question_8.json,0.0,0.0,754.3,0.5
multi_agent,causal_judgment,2,0.7,4096,llama3.2:3b,round_robin,1,9,Yes,Yes,1,0.7625,0.0,0.0,94.966,10.552,9,question_1.json,0.0556,0.0,1085.67,0.5556
multi_agent,causal_judgment,2,0.7,4096,llama3.2:3b,round_robin,1,10,No,No,1,0.7726,0.0,0.0,63.2,6.32,10,question_6.json,0.0,0.0,498.5,0.5
multi_agent,logical_fallacy_detection,2,0.1,4096,llama3.2:3b,random,2,11,Invalid,Invalid,1,0.7942,0.0,0.014,41.07,3.734,11,question_2.json,0.0455,0.0,292.36,0.5455
multi_agent,logical_fallacy_detection,2,0.1,4096,llama3.2:3b,random,2,12,Invalid,Invalid,1,0.7782,0.0,0.0,104.144,8.679,12,question_5.json,0.0,0.0,754.17,0.5
multi_agent,logical_fallacy_detection,2,0.1,4096,llama3.2:3b,random,2,7,Invalid,Invalid,1,0.7859,0.0,0.0,39.64,5.663,7,question_3.json,0.0714,0.0,467.57,0.5714
multi_agent,logical_fallacy_detection,2,0.1,4096,llama3.2:3b,random,2,10,Invalid,Invalid,1,0.7866,0.0,0.0,40.55,4.055,10,question_7.json,0.0,0.0,315.0,0.5
multi_agent,logical_fallacy_detection,2,0.1,4096,llama3.2:3b,random,2,7,Invalid,Invalid,1,0.7895,0.0,0.0,43.295,6.185,7,question_0.json,0.0714,0.0,476.57,0.5714
multi_agent,logical_fallacy_detection,2,0.1,4096,llama3.2:3b,random,2,8,Invalid,Invalid,1,0.7874,0.0,0.0,41.09,5.136,8,question_4.json,0.0,0.0,407.5,0.5
multi_agent,logical_fallacy_detection,2,0.1,4096,llama3.2:3b,random,2,10,Invalid,Invalid,1,0.7797,0.0,0.0,89.088,8.909,10,question_1.json,0.0,0.0,813.7,0.5
multi_agent,logical_fallacy_detection,2,0.1,4096,llama3.2:3b,random,2,14,Invalid,Valid,0,0.8013,0.0,0.0,53.108,3.793,14,question_6.json,0.0,0.0,241.29,0.5
multi_agent,causal_judgment,3,0.1,4096,llama3.2:3b,moderator,0,10,No,Yes,0,0.7736,0.0006,0.0068,119.222,11.922,10,question_2.json,0.2,0.0,767.6,0.5
multi_agent,causal_judgment,3,0.1,4096,llama3.2:3b,moderator,0,15,Yes,Yes,1,0.7617,0.0,0.0,191.376,12.758,15,question_5.json,0.0889,0.0,809.0,0.4
multi_agent,causal_judgment,3,0.1,4096,llama3.2:3b,moderator,0,13,No,No,1,0.7735,0.0,0.0,143.557,11.043,13,question_3.json,0.1026,0.0,637.69,0.3846
multi_agent,causal_judgment,3,0.1,4096,llama3.2:3b,moderator,0,11,Yes,Yes,1,0.7675,0.0,0.0,139.748,12.704,11,question_7.json,0.0606,0.0,858.73,0.3636
multi_agent,causal_judgment,3,0.1,4096,llama3.2:3b,moderator,0,12,Yes,Yes,1,0.7739,0.0,0.0,133.711,11.143,12,question_9.json,0.1111,0.0,751.67,0.4167
multi_agent,causal_judgment,3,0.1,4096,llama3.2:3b,moderator,0,12,No,No,1,0.7734,0.0,0.0,124.489,10.374,12,question_0.json,0.0,0.0,639.42,0.3333
multi_agent,causal_judgment,3,0.1,4096,llama3.2:3b,moderator,0,11,No,Yes,0,0.7733,0.0,0.0,137.615,12.51,11,question_4.json,0.0606,0.0,848.45,0.3636
multi_agent,causal_judgment,3,0.1,4096,llama3.2:3b,moderator,0,11,Yes,Yes,1,0.7625,0.0,0.0,148.878,13.534,11,question_10.json,0.1818,0.0,990.73,0.4545
multi_agent,causal_judgment,3,0.1,4096,llama3.2:3b,moderator,0,13,Yes,Yes,1,0.7594,0.0,0.0,159.198,12.246,13,question_8.json,0.1538,0.0,757.23,0.4615
multi_agent,causal_judgment,3,0.1,4096,llama3.2:3b,moderator,0,11,Yes,Yes,1,0.7666,0.0,0.0,129.81,11.801,11,question_1.json,0.0606,0.0,771.82,0.3636
multi_agent,causal_judgment,3,0.1,4096,llama3.2:3b,moderator,0,10,No,Yes,0,0.7725,0.0,0.0,118.316,11.832,10,question_6.json,0.1333,0.0,740.6,0.4
multi_agent,moral_permissibility,4,0.1,4096,llama3.2:3b,random,1,16,No,Yes,0,0.767,0.0,0.0,173.149,10.822,16,question_2.json,0.25,0.0,870.25,0.375
